Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
The Cat Who Saved Books,Sōsuke Natsukawa,Louise Heal Kawai,HarperVia,9780063095724,56755560,hardcover,read,2023/03/22,3,,No,198,2021,2017,3.72,Japan,male,English,Fantasy
Love on the Brain,Ali Hazelwood,,Sphere,,59571699,digital,read,2023/03/20,3,,No,368,2022,2022,3.91,Italy,female,English,Fiction
The Love Hypothesis,Ali Hazelwood,,Berkley Books,9780593336823,56732449,paperback,read,2023/01/26,5,,No,383,2021,2021,4.14,Italy,female,English,Contemporary
"Godkiller (Fallen Gods, #1)",Hannah Kaner,,Harper Voyager,9780008521462,61244268,hardcover,to-read,,0,,No,304,2023,2023,3.90,United Kingdom,female,English,Fantasy
Der Zopf,Laetitia Colombani,Claudia Marquardt,S. Fischer,9783103973518,38113559,hardcover,read,2023/01/12,5,,No,288,2018,2017,3.99,France,female,German,Fiction
Worlds Beyond (Worlds #3),Anabelle Stehl,,LYX,9783736316874,57876356,paperback,read,2023/01/06,3,,No,512,2022,2022,4.00,Germany,female,German,Romance
The Ghost Bride,,,William Morrow,9780062227324,16248223,hardcover,to-read,,0,,No,368,2013,2013,3.81,"Malaysia, China, United States of America",female,English,Fantasy
Portugiesisches Schicksal: Ein Lissabon-Krimi (Lissabon-Krimis 6) (German Edition),Luis Sellano,,Heyne Verlag,9783641264598,57339641,digital,read,2022/10/01,3,,No,337,2021,,3.61,Germany,male,German,Crime
Ein Geschenk von Bob,James Bowen,,Bastei-Lübbe,9783404608461,23946565,paperback,read,2022/10/01,3,,No,183,2014,2014,4.22,United Kingdom,male,German,Nonfiction
"Ein hinreißend verruchter Gentleman (Bridgerton-Reihe, #6)",Julia Quinn,,Mira Taschenbuch im Cora Verlag,9783899417425,7194352,paperback,read,2022/10/01,2,,No,416,2010,2004,3.99,United States of America,female,German,Romance
"Daughter of the Moon Goddess (The Celestial Kingdom, #1)",Sue Lynn Tan,Kuri Huang,Harper Voyager,9780063031302,57789637,hardcover,read,,0,,No,503,2022,2022,4.10,Malaysia,female,English,Romance
"The Cheat Sheet (The Cheat Sheet, #1)",Sarah Adams,,,,58100280,digital,read,2022/09/04,3,,No,306,2021,2021,3.72,United States of America,female,English,Fiction
"The Calculating Stars (Lady Astronaut Universe, #1)",Mary Robinette Kowal,,Tor Books,,33080122,paperback,read,2022/08/28,2,,No,431,2018,2018,3.96,United States of America,female,English,Fiction
"Lightlark (Lightlark, #1)",Alex Aster,,Harry N. Abrams,9781419760860,60310757,hardcover,to-read,,0,,No,416,2022,2022,3.83,"United States of America, Colombia",female,English,Romance
The Other Black Girl,Zakiya Dalila Harris,,Atria Books,9781982160135,55711688,hardcover,to-read,,0,,No,357,2021,2021,3.36,United States of America,female,English,Fiction
The Secret Bridesmaid,Katy Birchall,,Griffin,9781250795793,54860500,paperback,read,2022/08/16,4,,No,376,2021,2021,4.02,United Kingdom,female,English,Romance
Python-Programmierung für Germanist:innen: Ein Lehr- und Arbeitsbuch (narr STUDIENBÜCHER) (German Edition),Martin Weisser,,Narr Francke Attempto Verlag,9783823394563,61850405,digital,to-read,,0,,No,0,2022,,0.0,Germany,male,German,Nonfiction
The Bestseller Code: Anatomy of a Blockbuster Novel,Jodie Archer,Matthew L. Jockers,St. Martin's Press,9781250088277,28220900,hardcover,to-read,,0,,No,242,2016,2016,3.82,United Kingdom,female,English,Nonfiction
"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Ken Liu, Cixin Liu",Tor Books,,20518872,hardcover,to-read,,0,,No,472,2014,2006,4.08,China,male,English,Fiction
"Winter's Orbit (Winter's Orbit, #1)",Everina Maxwell,,Tor Books,9781250758835,53205912,hardcover,to-read,,0,,No,432,2021,2021,3.99,United Kingdom,female,English,Science Fiction
"Nights (Golden Hill, #3)",Nicole Böhm,,Mira Taschenbuch Verlag,9783745703009,58986687,paperback,read,2022/07/17,4,,No,336,2022,,4.15,Germany,female,German,Audiobook
Die Herrin der Lettern,Sophia Langner,,Droemer TB,9783426307229,50374089,paperback,read,2022/07/09,5,,No,528,2019,,3.93,Germany,female,German,Fiction
"A Curse So Dark and Lonely (Cursebreakers, #1)",Brigid Kemmerer,,Bloomsbury YA,9781681195087,43204703,hardcover,read,2022/06/22,3,,No,484,2019,2019,3.97,United States of America,female,English,Fantasy
All Your Perfects,Colleen Hoover,,Atria Books,9781501193323,38926487,paperback,read,2022/06/18,5,,No,305,2018,2018,4.02,United States of America,female,English,Romance
"House of Sky and Breath (Crescent City, #2)",Sarah J. Maas,,Bloomsbury Publishing,9781408884423,40132775,hardcover,to-read,,0,,No,805,2022,2022,4.47,United States of America,female,English,Fantasy
Ugly Love,Colleen Hoover,,Atria Books,,17788401,digital,read,2022/06/14,5,,No,330,2014,2014,4.03,United States of America,female,English,Fiction
November 9,Colleen Hoover,,Atria Books,9781501110344,25111004,paperback,read,2022/06/12,4,,No,310,2015,2015,4.13,United States of America,female,English,Contemporary
"The ​Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,,Blue Box Press,9781952457258,55240343,paperback,read,2022/06/08,4,,No,645,2021,2021,4.17,United States of America,female,English,Fantasy
"Du bist das Licht in meiner Welt (Starfall Love, #1)",Emily Stopp,,,,59545005,paperback,read,2022/05/25,5,,No,420,2022,,3.98,Germany,female,German,Fiction
"Kisses (Golden Hill, #2)",Nicole Böhm,,Mira Taschenbuch Verlag,9783745703108,58986689,paperback,read,2022/05/16,5,,No,352,2022,,4.12,Germany,female,German,Audiobook
"Spin the Dawn (The Blood of Stars, #1)",Elizabeth Lim,,Alfred A. Knopf Books for Young Readers,,42815556,hardcover,read,2022/05/14,4,,No,392,2019,2019,3.98,United States of America,female,English,Fiction
"Shadow Angel: Book Two (Shadow Angel, #2)",Leia Stone,Julie  Hall,,,60151834,digital,to-read,,0,,No,382,2022,2022,4.35,United States of America,female,English,Fiction
It Ends with Us (It Ends with Us #1),Colleen Hoover,,Atria Books,,27362503,digital,read,2022/05/08,4,,No,386,2016,2016,4.14,United States of America,female,English,Fiction
"Flesh and Fire (Liebe kennt keine Grenzen, #2)",Jennifer L. Armentrout,Sonja Rebernik-Heidegger,Heyne,9783453321533,57816817,paperback,read,2022/05/03,5,,No,784,2022,2020,4.34,United States of America,female,German,Fantasy
"The War of Two Queens (Blood and Ash, #4)",Jennifer L. Armentrout,,Blue Box Press,9781952457722,57815107,ebook,to-read,,0,,No,628,2022,2022,4.08,United States of America,female,English,Romance
"The Iron Queen (The Iron Fey, #3)",Julie Kagawa,,Harlequin Teen,9780373210183,8685612,paperback,read,2022/04/19,4,,No,384,2011,2011,4.19,United States of America,female,English,Fantasy
"Barbarian Alien (Ice Planet Barbarians, #2)",Ruby Dixon,,Ruby Dixon,,25802043,digital,read,2022/04/13,2,,No,248,2015,2015,3.76,United States of America,female,English,Fiction
"Sonnenkönig, Pechrabe",Kai Spellmeier,,Lago,9783957612144,59526843,paperback,read,2022/04/08,4,,No,400,2022,,4.09,Germany,male,German,Queer
Das Albtraumschiff: Odyssee eines Drehbuchautors. Satire,Christoph Fromm,,Primero Verlag,9783981973242,56436081,digital,read,2022/04/04,0,,No,283,2020,,3.67,Germany,male,German,Nonfiction
"Gottfried, der Turborabe - Enno und Kira zeigen es allen (German Edition)",Christoph Fromm,,Primero Verlag,9783981845433,54433533,digital,read,2022/04/03,0,,No,76,2020,,5.00,Germany,male,German,Children's book
"Gottfried, der Turborabe: Ennos allerbester Freund (German Edition)",Christoph Fromm,,Primero Verlag,,48501835,digital,read,,0,,No,74,2019,,5.00,Germany,male,German,Children's book
#IchBinHanna - Prekäre Wissenschaft in Deutschland,Amrei Bahr,"Kristin Eichhorn, Sebastian Kubon",Suhrkamp Verlags AG,9783518029756,60693954,paperback,to-read,,0,,No,144,2022,,4.19,Germany,male,German,Nonfiction
"Gottfried, der Turborabe: Ennos gefährliche Reise (German Edition)",Christoph Fromm,,Primero Verlag,,36447829,digital,read,2022/03/30,0,,No,0,2017,,5.00,Germany,male,German,Children's book
The Language of Food,Annabel Abbs,,Simon & Schuster UK,9781398502222,58294567,hardcover,read,2022/03/30,4,,No,416,2022,2021,3.92,United Kingdom,female,English,Historical Fiction
Stalingrad: The Loneliest Death,Christoph Fromm,,Primero Verlag GmbH,,25507275,digital,read,2022/03/16,0,,No,474,2015,2013,4.37,Germany,male,German,Fiction
"Touches (Golden Hill, #1)",Nicole Böhm,,Mira Taschenbuch Verlag,9783745702972,58986694,paperback,read,2022/03/09,5,,No,416,2022,2022,3.89,Germany,female,German,Romance
"Dark Rise (Dark Rise, #1)",C.S. Pacat,,Quill Tree Books,9780062946164,55424891,ebook,read,2022/03/04,5,,No,464,2021,2021,4.16,Australia,female,English,Fantasy
"Fire Heart (The Dragon of Umbra, #1)",Emma Hamm,,Emma Hamm,,59243407,digital,to-read,,0,,No,326,2022,2021,3.70,United States of America,female,English,Fiction
"Ice Planet Barbarians (Ice Planet Barbarians, #1)",Ruby Dixon,,Ruby Dixon,,25128811,digital,read,2022/02/20,2,,No,188,2015,2015,3.64,United States of America,female,English,Fiction
"Anywhere (Dunbridge Academy, #1)",Sarah Sprinz,,LYX Verlag,9783736316553,57813869,paperback,read,2022/02/13,4,,No,464,2022,2022,3.96,Germany,female,German,Romance
"Alles, was ich in dir sehe (Alles, #1)",Kyra Groh,,Loewe,9783743211490,59688983,paperback,to-read,,0,,No,464,2022,,4.19,Germany,female,German,Romance
Verity,Colleen Hoover,,Grand Central Publishing,9781538724743,59344312,ebook,read,2022/02/08,5,,No,336,2021,2018,4.31,United States of America,female,English,Thriller
The Martian,Andy Weir,,Ballantine Books,9780804139021,18007564,hardcover,read,2022/02/06,4,,No,384,2014,2011,4.42,United Kingdom,male,English,Science Fiction
Words I Keep (Die Amber-Falls-Reihe #1),Josi Wismar,,Heyne,9783641267988,59963969,digital,read,2022/01/18,2,,No,401,2021,2021,2.96,Germany,female,German,New Adult
"The Iron Daughter (The Iron Fey, #2)",Julie Kagawa,,Harlequin Teen,9780373210138,7747064,paperback,read,2022/01/16,4,,No,359,2010,2010,4.07,United States of America,female,English,Fantasy
Project Hail Mary,Andy Weir,,Ballantine Books,9780593135204,54493401,hardcover,read,2022/01/12,5,,No,476,2021,2021,4.51,United Kingdom,male,English,Science Fiction
"Und wir tanzen über den Flüssen (Love is Love, #3)",Sophie Bichon,,Heyne Verlag,9783453425323,55819703,paperback,read,2022/01/02,4,,No,464,2021,,4.07,Germany,female,German,New Adult
"Chain of Iron (The Last Hours, #2)",Cassandra Clare,,Walker Books,9781406358100,17699855,hardcover,read,2021/12/22,4,,No,656,2021,2021,4.42,"United States of America, Iran",female,English,Fantasy
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,,Blue Box Press,9781952457012,52831200,ebook,read,2021/12/22,4,,No,622,2020,2020,4.23,United States of America,female,English,Romance
"One Last Dance (One Last, #2)",Nicole Böhm,,Mira Taschenbuch Verlag,9783745701234,53210312,paperback,read,2021/01/01,0,,No,448,2021,2021,3.98,Germany,female,German,New Adult
Not Your Type,Alicia Zett,,Knaur,,52991908,digital,read,2021/01/01,0,,No,352,2021,2021,3.62,Germany,female,German,Fiction
"Blutmagie (Midnight Chronicles, #2)",Laura Kneidl,Bianca Iosivoni,LYX Verlag,9783736313477,52945819,paperback,read,2021/01/01,0,,No,430,2021,2021,4.24,Germany,female,German,Fantasy
"The Loop (The Loop Trilogy, #1)",Ben Oliver,,Chicken House,9781338589306,52376237,hardcover,read,2021/01/01,0,,No,368,2020,2020,3.89,United Kingdom,male,English,Science Fiction
Ghosts,Dolly Alderton,,Fig Tree,9780241434543,50042494,hardcover,read,2021/01/01,0,,No,352,2020,2020,3.88,United Kingdom,female,English,Fiction
Sturmseele (Die Tiermagierin #2),Maxym M. Martineau,Anita Nirschl,KYSS,9783499005237,53350654,paperback,read,2021/01/01,0,,No,512,2021,2020,4.01,United States of America,female,German,Fantasy
The Places I've Cried in Public,Holly Bourne,,Usborne Publishing,,44004352,digital,read,2021/01/01,0,,No,368,2019,2019,3.98,United Kingdom,female,English,Fiction
Cinderella Is Dead,Kalynn Bayron,,Bloomsbury YA,9781547603886,43900612,ebook,read,2021/01/01,0,,No,400,2020,2020,3.68,United States of America,female,English,Fantasy
"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St. Clair,,Scarlett St. Clair,,43175155,digital,read,2021/01/01,0,,No,438,2019,2019,3.82,United States of America,female,English,Fiction
Schattentanz (Die Tiermagierin #1),Maxym M. Martineau,Anita Nirschl,KYSS,9783499005220,53350646,paperback,read,2021/01/01,0,,No,480,2020,2019,3.95,United States of America,female,German,Fantasy
"Götterherz (Götterherz, #1)",B.E. Pfeiffer,,Sternensand Verlag,,41644389,paperback,read,2021/01/01,0,,No,360,2018,,3.77,Germany,female,German,Fiction
"Der geheime Akkord (Die Archive der Seelenwächter, #2)",Nicole Böhm,,Greenlight Press,9783958343016,40121815,digital,read,2021/01/01,0,,No,356,2018,,4.68,Germany,female,German,Fantasy
Schachnovelle,Stefan Zweig,,Fischer,,1016722,paperback,read,2021/01/01,0,,No,112,1987,1942,4.27,"Austria, Austria-Hungary",male,German,Fiction
City of Burning Wings: Die Aschekriegerin,Lily S. Morgan,,Impress,9783646607598,58177626,digital,read,2021/01/01,0,,No,400,2021,2021,3.97,Germany,female,German,Fantasy
Love with Pride,Lea Kaib,,Fischer New Media,9783733550196,57917371,paperback,read,2021/01/01,0,,No,400,2021,2021,3.47,Germany,female,German,LGBT
"Moving Mountains (Fletcher University, #4)",Tami Fischer,,Knaur,,57660602,digital,read,2021/01/01,0,,No,400,2021,,4.14,Germany,female,German,Fiction
"Die Clans von Tokito: Lotus und Tiger (Die Clans von Tokito, #1)",Caroline Brinkmann,,dtv Verlag,,55876816,digital,read,2021/01/01,0,,No,352,2021,2021,3.93,Germany,female,German,Fiction
"Und du fliegst durch die Nächte (Love is Love, #2)",Sophie Bichon,,Heyne Verlag,9783453425316,55819693,paperback,read,2021/01/01,0,,No,480,2021,,4.25,Germany,female,German,LGBT
Mit dir falle ich,Inka Lindberg,,FISCHER New Media,9783733550110,55775713,paperback,read,2021/01/01,0,,No,416,2021,2021,3.18,Germany,female,German,Romance
"Und ich leuchte mit den Wolken (Love is Love, #1)",Sophie Bichon,,Heyne Verlag,9783453425309,55441138,paperback,read,2021/01/01,0,,No,448,2021,2021,4.07,Germany,female,German,LGBT
"Das Reich der Asche (Realm Breaker, #1)",Victoria Aveyard,Michaela Link,Penhaligon Verlag,9783764532703,57718038,hardcover,read,2021/01/01,0,,No,608,2021,2021,3.59,United States of America,female,German,Fantasy
"One Last Act (One Last, #3)",Nicole Böhm,,Mira Taschenbuch Verlag,9783745701241,53210320,paperback,read,2021/01/01,0,,No,448,2021,2021,3.97,Germany,female,German,New Adult
"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather Morris,,Harper,9780062870674,38359036,hardcover,read,2021/01/01,0,,No,272,2018,2018,4.31,New Zealand,female,English,Historical Fiction
"Kim Jiyoung, Born 1982",Cho Nam-Joo,Jamie Chang,Liveright,9781631496707,46041199,hardcover,read,2021/01/01,0,,No,163,2020,2016,4.17,South Korea,female,English,Fiction
"The Last Namsara (Iskari, #1)",Kristen Ciccarelli,,HarperTeen,9780062567987,32667458,hardcover,read,2021/01/01,0,,No,421,2017,2017,4.06,Canada,female,English,Fantasy
"Aurora erwacht (The Aurora Cycle, #1)",Amie Kaufman,"Jay Kristoff, Nadine Püschel",FISCHER Sauerländer,9783737356701,55761295,paperback,read,2021/01/01,0,,No,496,2021,2019,4.10,Australia,female,German,Science Fiction
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,,"Little, Brown Books for Young Readers",,26032825,hardcover,read,2021/01/01,0,,No,370,2018,2018,4.03,United States of America,female,English,Fiction
"Frost und Mondlicht (Das Reich der sieben Höfe, #3.5)",Sarah J. Maas,,dtv Verlagsgesellschaft,,44551318,digital,read,2021/01/01,0,,No,292,2019,2018,3.75,United States of America,female,German,Fiction
"Babylon’s Ashes (The Expanse, #6)",James S.A. Corey,,Orbit,9780356504261,25877663,hardcover,read,2021/01/01,0,,No,532,2016,2016,4.25,,,English,Science Fiction
"Nemesis Games (The Expanse, #5)",James S.A. Corey,,Orbit,,22886612,digital,read,2021/01/01,0,,No,536,2015,2015,4.44,United States of America,male,English,Fiction
"Cibola Burn (The Expanse, #4)",James S.A. Corey,,Orbit,,18656030,hardcover,read,2021/01/01,0,,No,581,2014,2014,4.22,United States of America,male,English,Fiction
"Kriegerin im Schatten (Throne of Glass, #2)",Sarah J. Maas,Ilse Layer,dtv Verlag,9783423716529,25619761,paperback,read,2021/01/01,0,,No,522,2015,2013,4.35,United States of America,female,German,Fantasy
"UNSTERBLICH mein (The Curse, #1)",Emily Bold,,Planet!,9783522505796,45785259,perfect paperback,read,2021/01/01,0,,No,336,2019,2011,3.70,Germany,female,German,Fantasy
"Abaddon’s Gate (The Expanse, #3)",James S.A. Corey,,Orbit,,16131032,paperback,read,2021/01/01,0,,No,539,2013,2013,4.27,United States of America,male,English,Fiction
"Caliban’s War (The Expanse, #2)",James S.A. Corey,,"Orbit/Little, Brown Book Group",9781841499901,12591698,paperback,read,2021/01/01,0,,No,624,2012,2012,4.38,United States of America,male,English,Science Fiction
"Stormdancer (Der Lotuskrieg, #1)",Jay Kristoff,,Cross Cult,9783966583879,58179964,digital,read,2021/01/01,0,,No,566,2021,2012,3.79,Australia,male,German,Fantasy
Leviathan Wakes,James S.A. Corey,,Orbit,9781841499888,8855321,paperback,read,2021/01/01,0,,No,592,2011,2011,4.31,United States of America,male,English,Science Fiction
Das Lied des Achill,Madeline Miller,Michael Windgassen,Berlin Verlag GmbH & Co. KG,9783827010315,13264957,hardcover,read,2021/01/01,0,,No,380,2011,2011,4.32,United States of America,female,German,Fantasy
"The Lost Book of the White (The Eldest Curses, #2)",Cassandra Clare,Wesley Chu,Simon & Schuster,9781471162091,34605974,hardcover,read,2021/01/01,0,,No,400,2020,2020,3.97,"United States of America, Iran",female,English,Fantasy
"Neon Birds (Neon Birds, #1)",Marie Graßhoff,,Bastei Lübbe,9783404200009,43199412,paperback,read,2021/01/01,0,,No,463,2019,2019,4.30,Germany,female,German,Science Fiction
"Die Sterne werden fallen (Ophelia Scale, #3)",Lena Kiefer,,cbj,9783641243029,44805581,digital,read,2021/01/01,0,,No,512,2019,2019,4.55,Germany,female,German,Fantasy
"Der Himmel wird beben (Ophelia Scale, #2)",Lena Kiefer,,cbj,9783570165430,44668305,hardcover,read,2021/01/01,0,,No,496,2019,2019,4.58,Germany,female,German,Fantasy
"Die Welt wird brennen (Ophelia Scale, #1)",Lena Kiefer,,cbj,,43842423,digital,read,2021/01/01,0,,No,464,2019,2019,4.52,Germany,female,German,Fiction
"Ein gefährliches Vermächtnis (KNIGHTS, #1)",Lena Kiefer,,cbj,9783570165911,57604799,hardcover,read,2021/01/01,0,,No,448,2021,2021,4.08,Germany,female,German,Fantasy
"Crave (Crave, #1)",Tracy Wolff,,Entangled: Teen,9781640638952,45892228,hardcover,read,2021/10/03,0,,No,575,2020,2020,3.78,United States of America,female,English,Fantasy
"Renegades (Renegades, #1)",Marissa Meyer,,Feiwel & Friends,9781250044662,28421168,hardcover,read,2021/12/22,4,,No,552,2017,2017,4.12,United States of America,female,English,Fantasy
"Regenglanz (Sturm-Trilogie, #1)",Anya Omah,,Kyss Verlag,9783499006548,58127126,paperback,read,2021/11/23,4,,No,512,2021,2021,4.15,Germany,female,German,Romance
"Sommernacht (Plötzlich Fee, #1)",Julie Kagawa,Charlotte Lungstraß-Kapfer,Heyne Verlag,9783453267213,9805610,hardcover,read,2021/11/15,3,,No,496,2011,2010,3.88,United States of America,female,German,Fantasy
"They Both Die at the End (Death-Cast, #1)",Adam Silvera,,Quill Tree Books,9780062457790,33385229,hardcover,read,2021/10/25,3,,No,389,2017,2017,3.76,United States of America,male,English,Young Adult
Can You Help Me Find You?,Amy Noelle Parks,Henriette Zeltner,Wunderlich,9783805200578,51306800,paperback,read,2021/10/23,3,,No,366,2020,,3.75,United States of America,female,German,Romance
"Zepter aus Licht (Die Atlantis-Chroniken, #1)",Marah Woolf,,Nova MD,9783969664797,58214990,hardcover,read,2021/10/21,3,,No,560,2021,2021,4.21,Germany,female,German,Fantasy
"Blade of Secrets (Bladesmith, #1)",Tricia Levenseller,,Feiwel & Friends,9781250756800,51591632,hardcover,to-read,,0,,No,322,2021,2021,3.96,United States of America,female,English,Fantasy
Empire of the Vampire (Empire of the Vampire #1),Jay Kristoff,Bon Orthwick,Harper Voyager UK,9780008350437,43728380,hardcover,to-read,,0,,No,725,2021,2021,4.35,Australia,male,English,Fantasy
"Air Awakens (Air Awakens, #1)",Elise Kova,,Silver Wing Press,9781932549935,23127048,paperback,to-read,,0,,No,342,2015,2015,3.99,United States of America,female,English,Fantasy
"The Storm Crow (The Storm Crow, #1)",Kalyn Josephson,,SourcebooksFire,9781492672937,38330596,hardcover,to-read,,0,,No,352,2019,2019,3.78,United States of America,female,English,Fantasy
Eines Menschen Flügel,Andreas Eschbach,,"Lübbe Verlag, Bergisch-Gladbach",9783785727027,53395431,hardcover,read,2021/10/12,5,,No,1264,2020,2020,4.20,Germany,male,German,Science Fiction
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,,Tor Books,9780765326355,7235533,hardcover,read,2021/10/12,4,,No,1007,2010,2010,4.66,United States of America,male,English,Fantasy
"Aufruhr in Nimmernie (Plötzlich Rebell, #1)",Julie Kagawa,,Heyne,9783453321359,55918751,paperback,to-read,,0,,No,416,2021,2021,3.84,United States of America,female,German,Fantasy
