Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Große Gefallen,Lillian Fishman,Eva Bonné,Atlantik,9783455013931,60310558,hardcover,to-read,,0,,No,256,2022,2022,3.09,United States of America,,German,Fiction
Hitze,Raven Leilani,,,9783455985276,58344896,hardcover,to-read,,0,,No,,,2020,3.52,United States of America,female,German,Fiction
22 Bahnen,Caroline Wahl,,Dumont,9783832182786,63886925,hardcover,read,2023/07/15,4,,No,208,2023,2023,4.40,Germany,female,German,Fiction
Intimitäten,Katie Kitamura,Kathrin Razum,Hanser,9783446274044,61858103,hardcover,read,2023/07/07,3,,No,224,2022,2021,3.65,United States of America,female,German,Fiction
Die Perfektionen,Vincenzo Latronico,Verena von Koskull,Ullstein,9783843729260,64628266,digital,to-read,,0,,No,129,2023,2022,3.30,Italy,male,German,Fiction
Ham on Rye,Charles Bukowski,,Ecco,9780061177583,38501,paperback,to-read,,0,,No,288,2014,1982,4.14,"United States of America, Germany",male,English,Fiction
Das glückliche Geheimnis,Arno Geiger,,Hanser,9783446276178,63834813,hardcover,read,2023/07/03,4,,No,237,2023,2023,3.79,Austria,male,German,Nonfiction
Die Entdeckung der Fliehkraft: Roman,Kai Weyand,,Wallstein Verlag,9783835344105,49480990,digital,read,2023/06/20,3,,No,198,2019,,3.44,Germany,male,German,N/A
"Idol, Burning",Rin Usami,Asa Yoneda,HarperVia,9780063213289,60470072,hardcover,to-read,,0,,No,144,2022,2020,3.24,Japan,female,English,Fiction
Big Swiss,Jen Beagin,,Scribner,9781982153083,60701439,hardcover,to-read,,0,,No,336,2023,2023,3.68,United States of America,female,English,Fiction
An Exclusive Love,Johanna Adorján,Anthea Bell,W. W. Norton & Company,9780393080018,8470252,hardcover,to-read,,0,,No,185,2011,2009,3.72,"Denmark, Germany",female,English,Nonfiction
Überfahrt mit Dame: Eine Salonerzählung,Henry James,"Anthony Trollope, Alexander Pechmann",Aufbau Verlag,9783351035297,17564241,hardcover,read,2023/06/08,2,,No,175,2013,1888,3.49,United States of America,male,German,Fiction
Das Fest der Bedeutungslosigkeit,Milan Kundera,,Hanser Verlag,9783446247635,24178503,hardcover,read,2023/06/04,3,,No,144,2015,2013,3.35,"France, Czech Republic, Czechoslovakia, statelessness",male,German,Fiction
Das Geisterhaus,Isabel Allende,Anneliese Botond,Suhrkamp,9783518381762,1151499,paperback,read,2023/05/30,4,,No,501,1989,1982,4.28,"United States of America, Chile, Peru",female,German,Fiction
Cleopatra and Frankenstein,Coco Mellors,,Bloomsbury Publishing,9781635576818,57693262,hardcover,to-read,,0,,No,384,2022,2022,3.75,United States of America,female,English,Fiction
Jahre mit Martha,Martin Kordic,,S.Fischer,9783103971637,61230082,hardcover,read,2023/05/18,4,,No,286,2022,,4.06,Germany,male,German,German Literature
Lapvona,Ottessa Moshfegh,,Penguin Press,,59693959,digital,read,2023/05/17,4,,No,313,2022,2022,3.53,United States of America,female,English,Fiction
Die Tage mit Bumerang,Nina Sahm,,hanserblau,9783446264465,51594415,paperback,read,2023/05/12,2,,No,239,2019,,4.07,Germany,female,German,German Literature
Love Worth Making: How to Have Ridiculously Great Sex in a Lasting Relationship,Stephen Snyder,,St. Martin's Press,9781250113115,34964887,hardcover,read,2023/05/12,2,,No,288,2018,2018,4.13,,male,English,Relationships
Die Jahre,Annie Ernaux,,Suhrkamp,9783518225028,36510330,hardcover,read,2023/04/29,3,,No,256,2017,2008,4.17,France,female,German,Nonfiction
"Ekstasen der Gegenwart: Über Entgrenzung, Subkulturen und Bewusstseinsindustrie (German Edition)",Paul-Philipp Hanske,,Matthes & Seitz Berlin Verlag,9783751803946,103852360,digital,read,2023/04/27,3,,No,367,2023,,3.78,Germany,male,German,N/A
Liebewesen,Caroline Schmitt,,Eichborn,9783847901303,63900318,hardcover,to-read,,0,,No,224,2023,2023,3.94,Germany,female,German,German Literature
Das Buch eines Sommers,Bas Kast,,Diogenes,9783257071504,53999479,hardcover,read,2023/04/08,3,,No,240,2020,2020,3.54,Germany,male,German,Audiobook
Wir haben Raketen geangelt,Karen Köhler,,Hanser,9783446246027,22118798,hardcover,read,2023/04/06,4,,No,240,2014,2014,3.97,Germany,female,German,Short Stories
Der junge Mann,Annie Ernaux,,Suhrkamp Verlag ,9783518775394,63127807,digital,read,,4,,No,48,2023,2022,3.61,France,female,German,Nonfiction
Die neuen Leiden des jungen W.,Ulrich Plenzdorf,,Suhrkamp,,1329641,paperback,read,2023/02/19,2,,No,148,2004,1973,3.28,"Germany, German Democratic Republic",male,German,Fiction
Der Inselmann,Dirk Gieselmann,,Kiepenheuer&Witsch,9783462000252,63363578,hardcover,to-read,,0,,No,176,2023,,3.95,Germany,male,German,German Literature
Enjoy Schatz,Jovana Reisinger,,Korbinian,9783982460222,75673979,paperback,to-read,,0,,No,150,2022,2022,3.87,Germany,female,German,Feminism
The Creative Act: A Way of Being,Rick Rubin,,Penguin Press,9780593652886,60965426,hardcover,to-read,,0,,No,406,2023,2023,4.05,United States of America,male,English,Nonfiction
Alte Sorten,Ewald Arenz,,DuMont,9783832183813,44436572,hardcover,to-read,,0,,No,255,2019,2019,4.21,Germany,male,German,Fiction
Stories of Your Life and Others,Ted Chiang,,Small Beer Press,9780330426640,223380,ebook,to-read,,0,,No,281,2010,2002,4.26,United States of America,male,English,Short Stories
Das blinde Licht,Benjamín Labatut,,Suhrkamp Verlag,9783518429228,50404019,hardcover,to-read,,0,,No,187,2020,2020,4.14,Chile,male,German,Science
Warum Mathematik (fast) alles ist: … und wie sie unser Leben bestimmt (German Edition),Kit Yates,"Bernd Schuh, Monika Niehaus",Piper Verlag GmbH,,57634481,digital,read,2023/01/12,4,,No,353,2021,2019,3.91,United Kingdom,male,German,Nonfiction
Feuchtgebiete,Charlotte Roche,,Dumont Verlag,9783832180577,2914683,paperback,read,2023/01/08,3,,No,224,2008,2008,2.86,"Germany, United Kingdom",female,German,Fiction
Alle_Zeit,Teresa Bücker,,Ullstein eBooks,9783843727754,62106769,digital,read,2023/01/08,4,,No,401,2022,,4.38,Germany,female,German,Nonfiction
Schlafes Bruder,Robert Schneider,,Reclam,9783379015189,1319778,paperback,to-read,,0,,No,204,2004,1992,3.79,Austria,male,German,Fiction
Wenn Martha tanzt,Tom Saller,,List,9783471351673,36978110,hardcover,read,2020/01/01,4,,No,288,2018,,3.83,Germany,male,German,Audiobook
Der Gesang der Flusskrebse,Delia Owens,"Ulrike Wasel, Klaus Timmermann",hanserblau,9783446265134,49864151,digital,read,2020/04/26,5,,No,464,2019,2018,4.38,United States of America,female,German,Fiction
Komplett Gänsehaut,Sophie Passmann,,Kiepenheuer&Witsch,9783462053616,55848259,hardcover,read,2021/03/28,5,,No,192,2021,2021,3.30,Germany,female,German,Nonfiction
Altes Land,Dörte Hansen,,Albrecht Knaus Verlag,,24951372,digital,read,,5,,No,289,2015,2015,4.01,Germany,female,German,Fiction
Die monetäre Maschine: Eine Kritik der finanziellen Vernunft,Aaron Sahr,,C.H.Beck,9783406782329,60473749,hardcover,to-read,,0,,No,447,2022,,4.30,Germany,male,German,Nonfiction
Wünsche,Judith Kuckart,,Dumont Buchverlag,9783832197056,17883623,hardcover,read,2022/12/06,3,WAS EIN KAMPF,No,300,2013,2013,2.84,Germany,female,German,Fiction
Die Überlebenden,Alex Schulman,Hanna Granz,dtv,9783423282932,57808479,hardcover,to-read,,0,,No,304,2021,2020,3.67,Sweden,male,German,Fiction
Feminismos,unam,,UNAM,,49115908,paperback,read,2022/11/16,2,,No,181,2019,,3.88,,,Spanish,N/A
Rebeldías feministas y luchas de mujeres en América Latina,Itandehui Reyes-Díaz,Carolina Gonzaga González,,,59083050,hardcover,to-read,,0,,No,350,2021,,3.33,Mexico,female,Spanish,Nonfiction
Jeder ist beziehungsfähig: Der goldene Weg zwischen Freiheit und Nähe (German Edition),Stefanie Stahl,,Kailash,,36419207,digital,read,2022/10/14,3,,No,321,2017,2017,3.79,Germany,female,German,Psychology
What We Talk About When We Talk About Love,Raymond Carver,,Vintage Books,9780679723059,11438,paperback,read,2022/10/14,4,,No,159,1989,1981,4.04,United States of America,male,English,Short Stories
Axolotl Roadkill,Helene Hegemann,,Ullstein,9783550087929,7620849,paperback,read,2022/10/14,2,,No,208,2010,2010,2.37,Germany,female,German,Fiction
Die hellen Tage,Zsuzsa Bánk,,S. Fischer,9783100052223,10453436,hardcover,to-read,,0,,No,540,2011,2011,4.01,Germany,female,German,Fiction
Bungalow,Helene Hegemann,,Hanser Verlag,9783446253179,41141654,hardcover,to-read,,0,,No,288,2018,,3.54,Germany,female,German,N/A
Zwischen den Welten: Von Macht und Ohnmacht im Iran,Natalie Amiri,,Aufbau Verlag,9783841227010,57413234,digital,read,2022/10/07,5,,No,249,2021,2021,4.53,Germany,female,German,Nonfiction
Code kaputt: Macht und Dekadenz im Silicon Valley (German Edition),Anna Wiener,,Droemer HC,9783426453926,54998112,digital,to-read,,0,,No,322,2020,2020,3.64,,female,German,Nonfiction
Lieber aufgeregt als abgeklärt,Eva Menasse,,Kiepenheuer & Witsch GmbH,9783462047295,25039223,hardcover,to-read,,0,,No,256,2015,2015,3.64,Austria,female,German,Essays
Sentimentale Reisen - Essays,Joan Didion,,Ullstein,9783550081347,33097812,hardcover,to-read,,0,,No,336,2016,1993,3.97,United States of America,female,German,Essays
Giovanni’s Room,James Baldwin,,Penguin,,38462,paperback,read,2022/10/05,4,,No,159,2000,1956,4.33,United Kingdom,male,English,Classics
Wie wir lieben: Vom Ende der Monogamie,Friedemann Karig,,Blumenbar,9783351050382,34338615,hardcover,read,2022/10/01,2,,No,302,2017,,3.93,Germany,male,German,Nonfiction
Zusammenkunft,Natasha Brown,,Suhrkamp Verlag,9783518430460,59442949,paperback,read,2022/09/25,3,,No,128,2022,2021,3.85,United Kingdom,female,German,Fiction
"Nie, Nie, Nie",Linn Strømsborg,,DuMont Buchverlag,9783832181338,56398225,hardcover,read,2022/09/24,3,,No,256,2021,2019,4.16,Norway,female,German,Fiction
Verzweiflungstaten,Megan Nolan,,Aufbau Verlag,9783351050948,58673824,hardcover,read,,3,,No,304,2021,,3.74,Republic of Ireland,female,German,Fiction
Die Schachnovelle,Stefan Zweig,,,,20875784,,read,2022/09/20,3,,No,,,1942,4.27,"Austria, Austria-Hungary",male,German,Fiction
Prima Aussicht,Judith Poznan,,DuMont Buchverlag,9783832181734,58771395,hardcover,read,2022/09/19,3,,No,192,2021,2021,3.72,Germany,female,German,Audiobook
El principito,Antoine de Saint-Exupéry,Bonifacio del Carril,Harvest Books,,866618,paperback,read,2022/09/11,5,,No,87,2001,1943,4.33,France,male,Spanish,Fiction
Kummer aller Art,Mariana Leky,,DuMont,9783832182168,60892171,hardcover,read,2022/08/09,4,,No,176,2022,,4.16,Germany,female,German,Fiction
(K)eine Mutter,Jeanne Diesteldorf,,KiWi,9783462002102,59554353,paperback,to-read,,0,,No,237,2021,,4.14,Germany,female,German,Nonfiction
Sommerschwestern,Monika Peetz,,Kiepenheuer & Witsch,9783462303827,60780757,digital,read,2022/04/19,2,,No,304,2022,2022,3.10,Germany,female,German,Fiction
Euphoria,Lily King,,Atlantic Monthly Press,9780802122551,18467802,hardcover,read,2022/04/14,2,,No,256,2014,2014,3.86,United States of America,female,English,Historical Fiction
Zwischen Du und Ich,Mirna Funk,,dtv,9783423438551,57126239,digital,read,2022/04/13,3,,No,264,2021,,3.63,Germany,female,German,German Literature
Vincent,Joey Goebel,,Diogenes,9783257236477,1325968,paperback,read,2022/03/20,4,,No,435,2005,2004,4.18,United States of America,male,German,Fiction
Mein Jahr der Ruhe und Entspannung,Ottessa Moshfegh,Anke Caroline Burger,Liebeskind Verlagsbhdlg.,9783954380961,40783894,digital,read,2022/01/22,3,,No,320,2018,2018,3.64,United States of America,female,German,Fiction
Die Liebe der Väter,Thomas Hettche,,Kiepenheuer & Witsch,9783462041873,9022579,hardcover,read,2022/01/10,2,,No,223,2010,2010,2.56,"Germany, Switzerland",male,German,Contemporary
"Die Macht der Affäre. Warum wir betrügen und was wir daraus lernen können.: Ein Buch für alle, die schon einmal geliebt haben",Esther Perel,"Regina Schneider, Johanna Wais",HarperCollins,,44301711,digital,read,2021/12/30,2,,No,384,2019,2017,4.36,Belgium,female,German,Nonfiction
Leinsee,Anne Reinecke,,Diogenes Verlag,9783257070149,37781000,hardcover,to-read,,0,,No,368,2018,,3.78,Germany,female,German,German Literature
Montecrypto,Tom Hillenbrand,,KiWi-Paperback ,9783462001570,55854432,paperback,read,2021/11/14,4,,No,448,2021,2021,3.89,Germany,male,German,Thriller
Allein,Daniel Schreiber,,Hanser Berlin,9783446267923,58931278,hardcover,read,2021/11/09,2,,No,160,2021,2021,3.88,Israel,male,German,Nonfiction
Souverän und selbstbewusst: Der gelassene Umgang mit Selbstzweifeln (German Edition),Bärbel Wardetzki,,Kösel-Verlag,9783641143169,23479505,digital,read,2021/11/07,3,,No,134,2014,2014,3.59,Germany,female,German,Nonfiction
Die letzten Tage des Patriarchats,Margarete Stokowski,,Rowohlt,9783498063634,39979550,hardcover,read,2021/10/30,0,,No,320,2018,2018,4.28,"Germany, Polish People's Republic, Poland",female,German,Feminism
Das Leben keiner Frau,Caroline Rosales,,Ullstein Buchverlage,9783550201639,58600805,hardcover,read,2021/10/29,4,,No,240,2021,,3.78,Germany,female,German,German Literature
Die Liebe im Ernstfall,Daniela Krien,,Diogenes,9783257070538,43160512,hardcover,read,2021/10/15,2,,No,288,2019,2019,3.70,Germany,female,German,Fiction
Der Mauersegler,Jasmin Schreiber,,Eichborn Verlag,9783847900795,57863153,hardcover,read,2021/10/06,3,,No,280,2021,,4.14,Germany,female,German,Fiction
"Beautiful World, Where Are You",Sally Rooney,,"Farrar, Straus and Giroux",9780374602604,56597885,hardcover,read,2021/09/21,4,,No,356,2021,2021,3.54,Republic of Ireland,female,English,Fiction
Hard Land,Benedict Wells,,Diogenes,9783257071481,55886863,hardcover,read,2021/09/19,4,,No,345,2021,2021,4.28,"Switzerland, Germany",male,German,Fiction
"Der größte Spaß, den wir je hatten",Claire Lombardo,Sylvia Spatz,dtv,9783423281980,51204986,hardcover,read,2021/09/14,4,,No,719,2019,2019,3.93,United States of America,female,German,Fiction
"Wo steckst du, Bernadette?",Maria Semple,,btb,9783442748518,24395280,paperback,read,2021/09/12,3,,No,384,2015,2012,3.88,United States of America,female,German,Fiction
Die Selbstgerechten. Mein Gegenprogramm – für Gemeinsinn und Zusammenhalt,Sahra Wagenknecht,,Campus Verlag,9783593446684,57733010,digital,read,2021/08/30,3,,No,455,2021,2021,3.72,Germany,female,German,Politics
In the Flo: Unlock Your Hormonal Advantage and Revolutionize Your Life,Alisa Vitti,,HarperOne,9780062870483,43386658,hardcover,read,2021/08/30,3,,No,384,2020,,3.97,United States of America,female,English,Health
"Kim Jiyoung, Born 1982",Cho Nam-Joo,Jamie Chang,Liveright,9781631496707,46041199,hardcover,read,2021/08/24,3,,No,163,2020,2016,4.17,South Korea,female,English,Fiction
Was wir sind,Anna Hope,Eva Bonné,Carl Hanser Verlag,9783446267336,51338673,digital,read,2021/08/21,4,,No,369,2020,2019,3.81,United Kingdom,female,German,Fiction
"Nichts tun: Die Kunst, sich der Aufmerksamkeitsökonomie zu entziehen",Jenny Odell,Annabel Zettel,,,57183579,digital,read,2021/08/20,2,,No,309,2021,2019,3.68,United States of America,female,German,Nonfiction
"Bin ich schon depressiv, oder ist das noch das Leben?",Till Raether,,Rowohlt,9783499005305,57326819,paperback,read,2021/08/08,4,,No,128,2021,2021,4.15,Germany,male,German,Nonfiction
Geteiltes Vergnügen,Johanna Adorján,,Hanser Berlin,9783446250710,29074562,hardcover,read,2021/07/17,2,,No,208,2016,2016,3.47,"Denmark, Germany",female,German,Fiction
Ciao,Johanna Adorján,,Kiepenheuer & Witsch GmbH,9783462001716,58403453,hardcover,read,2021/07/12,4,,No,272,2021,2021,3.37,"Denmark, Germany",female,German,Fiction
Ohrfeige für die Seele: Wie wir mit Kränkung und Zurückweisung besser umgehen können (German Edition),Bärbel Wardetzki,,Kösel-Verlag,9783641147051,23479836,digital,read,2021/07/11,5,,No,224,2014,2004,4.29,Germany,female,German,Psychology
Gesang der Fledermäuse,Olga Tokarczuk,,Kampa Verlag,9783311701231,49010185,digital,read,2021/06/29,2,,No,299,2019,2009,3.95,Poland,female,German,Fiction
Weiblicher Narzissmus: Der Hunger nach Anerkennung,Bärbel Wardetzki,,Kösl,9783466307654,5407945,paperback,read,2021/07/10,4,,No,304,2012,1991,4.07,Germany,female,German,Psychology
Meine geniale Freundin (L'amica geniale #1),Elena Ferrante,Karin Krieger,Suhrkamp Verlag,9783518425534,30324161,hardcover,read,2021/05/13,2,,No,487,2016,2011,4.04,Italy,female,German,Fiction
Was ich euch nicht erzählte,Celeste Ng,Brigitte Jakobeit,Dtv,9783423280754,27434035,hardcover,read,2021/05/11,3,,No,284,2016,2014,3.84,United States of America,female,German,Fiction
Der Salzpfad,Raynor Winn,,Dumont Reise Vlg GmbH + C,9783770166886,45695154,perfect paperback,read,2021/04/20,2,,No,336,2019,2018,4.02,,female,German,Nonfiction
Identitti,Mithu M. Sanyal,,Hanser,9783446269217,55754513,hardcover,read,2021/04/14,3,,No,432,2021,2021,3.83,Germany,female,German,Fiction
"Ach, diese Lücke, diese entsetzliche Lücke",Joachim Meyerhoff,,Kiepenheuer&Witsch,9783462048285,25796741,hardcover,read,2021/03/23,2,,No,380,2015,2015,4.28,Germany,male,German,Fiction
Allegro Pastell,Leif Randt,,Kiepenheuer & Witsch,9783462053586,48725544,hardcover,read,2021/03/18,5,,No,279,2020,2020,3.58,Germany,male,German,Fiction
Vielleicht solltest du mal mit jemandem darüber reden,Lori Gottlieb,,hanserblau,9783446266049,50328916,hardcover,read,2021/01/31,4,,No,496,2020,2019,4.38,United States of America,female,German,Nonfiction
