Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Das Privileg,Mary Adkins,,Kindler Verlag,9783463407128,56870204,hardcover,read,2022/02/05,,,No,432,2001,2020,3.62,United States of America,female,German,Fiction
Das Taschentuch,Brigitte Kronauer,,Klett-Cotta,9783608932201,3823348,hardcover,read,2022/01/07,4.5,,Yes,268,1994,,3.20,Germany,female,German,N/A
Heartstopper Volume 5,Alice Oseman,,Hachette,9781444957655,175742413,paperback,read,2022/05/02,,,No,320,2023,2023,4.50,United Kingdom,female,English,Graphic Novels
Unsere unendlichen Tagen,Claire Fuller,Susanne Höbel (Translator),Piper,9783492058285,58663277,hardcover,read,2023/04/15,,,No,320,2021,2015,3.67,United Kingdom,female,German,Fiction
The Fraud,Zadie Smith,,Penguin Press,9780525558965,66086834,hardcover,currently-reading,,,,No,464,2023,2023,3.32,United Kingdom,female,English,Historical Fiction
Ich bin Circe,Madeline Miller,Frauke Brodd (Translator),Eisele Verlag,9783961610686,45160102,hardcover,read,2022/02/22,4.5,,No,517,2019,2018,4.24,United States of America,female,German,Fantasy
Zwölf Ringe: Roman,Jurij I. Andruchovyč,,Suhrkamp Verlag AG,9783518458402,8402800,,read,2022/09/26,,,Yes,306,2007,2003,3.79,Ukraine,male,German,Ukraine
Die Lüge,Mikita Franko,,Hoffmann & Campe,3455013678,60039749,hardcover,read,2024/05/29,5.0,,No,384,2022,2019,4.21,Russia,male,German,Queer
"Nie, Nie, Nie",Linn Strømsborg,Stefan Pluschkat (Translator),DuMont Buchverlag,9783832181338,56398225,hardcover,read,2023/06/16,,,No,256,2021,2019,4.16,Norway,female,German,Fiction
Die Stunde zwischen Frau und Gitarre,Clemens J. Setz,,Suhrkamp,9783518467534,33939807,paperback,read,2022/04/05,3.75,,No,1021,2017,2015,4.11,Austria,male,German,Fiction
In einem anderen Land,Ernest Hemingway,Werner Schmitz (Translator),Rowohlt Taschenbuch,9783499274985,52756176,paperback,did-not-finish,,,,No,400,2018,1929,3.82,United States of America,male,German,Fiction
Zuleika,Bernardine Evaristo,Tanja Handels (Translator),Tropen,9783608122459,203249605,digital,read,2024/05/11,,,No,306,2024,2001,3.67,United Kingdom,female,German,Poetry
Die Ladenhüterin,Sayaka Murata,Ursula Gräfe (Translator),Aufbau,9783351037031,38323482,hardcover,read,2023/12/03,,,No,145,2018,2016,3.69,Japan,female,German,Fiction
Death of a Salesman,Arthur Miller,,Heinemann,9780435233075,12898,hardcover,to-read,,,,No,144,1994,1949,3.57,United States of America,male,English,Classics
Piranesi,Susanna Clarke,,Bloomsbury,9781635575637,50202953,hardcover,to-read,,,,No,272,2020,2020,4.23,United Kingdom,female,English,Fantasy
Herrn Dames Aufzeichnungen: Begebenheiten aus einem merkwürdigen Stadtteil,Franziska zu Reventlow,,Hofenberg,9783843097536,27767785,hardcover,read,2022/03/28,3.75,,Yes,106,2015,1913,2.85,Germany,female,German,N/A
Everyone in This Room Will Someday Be Dead,Emily Austin,,Atlantic Books,9781838953751,60710448,paperback,read,2024/05/10,4.5,,No,258,2022,2021,3.87,Canada,female,English,Fiction
Die Mitternachtsbibliothek,Matt Haig,Sabine Hübner (Translator), Droemer HC,9783426282564,55921837,hardcover,read,2022/09/30,,,No,320,2021,2020,4.00,United Kingdom,male,German,Fiction
Verführungen. 3. Folge. Frauenjahre,Marlene Streeruwitz,,Suhrkamp,9783518392263,2134762,paperback,to-read,,,,No,,1997,1992,3.64,Austria,female,German,Fiction
Der gefährlichste Ort der Welt,"Lindsey Lee Johnson, Kathrin Razum",,dtv,9783423281331,35165616,hardcover,read,2023/09/21,,,Yes,304,2017,2017,3.40,Germany,female,German,Fiction
Nach Mitternacht,Irmgard Keun,,Suhrkamp,9783548601519,360481,paperback,read,2023/01/14,,,No,208,2002,1937,3.91,Germany,female,German,Fiction
Nachtschwärmerin,Leila Mottley,Yasemin Dinçer (Translator),Ecco Verlag,9783753000589,63067664,hardcover,read,2024/05/18,4.5,,No,416,2022,2022,3.98,United States of America,female,German,Fiction
Die Spur der Bücher,Kai Meyer,Simon Jäger (Narrator),Argon Verlag GmbH,9783839841600,43833745,audio,read,2022/03/14,3.5,,No,0,2017,2017,3.97,Germany,male,German,Fantasy
Muttermilch,Melissa Broder,,Claassen,9783546100069,56945097,hardcover,read,2023/08/24,,,No,327,2021,2021,3.57,United States of America,female,German,Fiction
Wilde Minze,Nina LaCour,,Ullstein,9783550201783,214111293,hardcover,read,2024/02/06,2.0,<div>Schlecht übersetzt.</div>,No,336,2023,2022,3.88,United States of America,female,German,Romance
Fremde Freundin,J. Courtney Sullivan,,Zsolnay,9783552072510,58852865,hardcover,read,2023/10/12,,,No,528,2021,2020,3.65,United States of America,female,German,Fiction
Das Mädchen mit der lauternen Stimme,Abi Daré,Simone Jakob (Translator),Eichborn,9783847900917,58672508,hardcover,read,2022/07/05,,,No,368,2021,2020,4.43,Nigeria,female,German,Fiction
Everyone in This Room Will Someday Be Dead,Emily Austin,,Atria Books,9781982167356,55711706,hardcover,to-read,,,,No,256,2021,2021,3.87,Canada,female,English,Fiction
The Good Soldier: A Tale of Passion,Ford Madox Ford,,Broadview Press,9781551113814,7628,paperback,to-read,,,,No,368,2003,1915,3.68,United Kingdom,male,English,Classics
Die Tochter,Kim Hye-jin,Lee Ki-Hyang (Translator),Hanser Berlin,9783446272323,59523202,hardcover,read,2023/03/23,,,No,176,2022,2017,3.71,South Korea,female,German,Fiction
Das ist dein Leben,Meg Wolitzer,,DuMont,9783832181352,72584302,hardcover,read,2023/02/21,,,No,384,2020,1988,3.48,United States of America,female,German,Fiction
Home Fire,Kamila Shamsie,,Riverhead Books,9780735217683,33621427,hardcover,to-read,,,,No,276,2017,2017,4.03,"United Kingdom, Pakistan",female,English,Fiction
"Someday, Someday",Emma Scott,,LYX,9783736315860,56252221,paperback,read,2022/10/14,,,No,480,2022,2019,4.39,United States of America,female,German,Romance
Ungeduld Des Herzens,Stefan Zweig,,FISCHER Taschenbuch,9783596216796,57387817,paperback,read,2022/04/18,2.5,,Yes,464,1988,1939,4.24,"Austria, Austria-Hungary",male,German,N/A
The Hill We Climb: An Inaugural Poem for the Country,Amanda Gorman,,Viking Books,9780593465271,56914101,hardcover,read,2022/04/24,,,No,29,2021,2021,4.56,United States of America,female,English,Poetry
Maybe Not Tonight,Alicia Zett,,Droemer Knaur,9783426527450,55819724,paperback,read,2023/07/30,,,No,464,2021,,3.93,Germany,female,German,Queer
Unsere verschwundenen Herzen,Celeste Ng,Brigitte Jakobeit (Translator),dtv,9783423290357,60869355,hardcover,read,2022/12/16,,,No,400,2022,2022,3.80,United States of America,female,German,Fiction
Bewohnte Frau,"Gioconda Belli, Lutz Kliche",,Dtv,9783423113458,1219506,paperback,read,2022/09/15,,,No,374,1991,1988,4.21,"Spain, Italy, Chile, Nicaragua",female,German,Fiction
"Der Russe ist einer, der Birken liebt",Olga Grjasnowa,,dtv,9783423142465,18585069,paperback,read,2023/03/18,,,No,288,2013,2012,3.70,"Germany, Azerbaijan",female,German,Fiction
Vienna (German Edition),Eva Menasse,,Kiepenheuer & Witsch eBook,9783462306606,35999391,,read,2023/03/15,,,No,423,2012,2005,3.55,Austria,female,German,Fiction
Die Vegetarierin,Han Kang,Ki-Hyang Lee (Translator),Aufbau Taschenbuch,9783746633336,36250615,paperback,read,2022/04/12,4.5,,Yes,190,2017,2007,3.58,South Korea,female,German,Fiction
Die verschwindende Hälfte,Brit Bennett,"Isabel Bogdan (Translator), Robin Detje (Translator)",Rowohlt Buchverlag,9783498001599,54413803,hardcover,read,2023/09/10,,,No,416,2020,2020,4.14,United States of America,female,German,Fiction
Hamnet,Maggie O'Farrell,,Tinder Press,9781472223821,59444219,paperback,read,2023/07/16,,,Yes,389,2021,2020,4.20,United Kingdom,female,English,Historical Fiction
Malibu Rising,Taylor Jenkins Reid,Babette Schröder (Translator),,9783548067544,196658098,paperback,read,2023/07/02,,,Yes,430,2023,2021,4.04,United States of America,female,German,Fiction
Das Lied des Achill,Madeline Miller,Michael Windgassen (Translator),Eisele Verlag,9783961610822,53015640,paperback,read,2022/04/23,4.75,,No,416,2020,2011,4.32,United States of America,female,German,Fantasy
DAFUQ,"Kira Jarmysch",Olaf Kühl (Translator),Rowohlt Berlin,9783737101400,59465269,hardcover,read,2024/03/29,4.0,,No,416,2021,2023,3.36,Russia,female,German,Fiction
Klein und Wagner,Hermann Hesse,,Suhrkamp,9783518366165,137085,paperback,read,2022/05/14,,,Yes,94,1981,1919,3.90,Germany,male,German,Fiction
Warum wir noch hier sind: Roman,Marlen Pelny,,Haymon,9783709981979,199892589,hardcover,read,2024/02/16,5.0,,No,224,2023,,4.33,Germany,female,German,N/A
Echtzeitalter,Tonio Schachinger,,Rowohlt,9783498003173,63918548,hardcover,read,2024/01/05,4.0,,No,365,2023,2023,3.95,"Austria, India",male,German,Fiction
Freundin bleibst du immer,Tomi Obaro,,hanserblau,9783446273900,61265976,hardcover,read,2023/03/17,,,No,320,2022,2022,3.63,Nigeria,female,German,Fiction
Carrie Soto is back,Taylor Jenkins Reid,Babette Schröder (Translator),Ullstein,9783548067537,60772583,paperback,read,2024/04/16,4.0,,No,450,2022,2022,4.21,United States of America,female,German,Fiction
Grand Union: Erzählungen,Zadie Smith,Tanja Handels (Translator),Kiepenheuer & Witsch,9783462053760,58300392,hardcover,read,2023/01/07,,,No,272,2021,2019,3.27,United Kingdom,female,German,Short Stories
Die Töchter Egalias,Gerd Brantenberg,,Olle & Wolter,9783883954042,15818623,,to-read,,,,No,234,1979,1977,3.97,Norway,female,German,Feminism
Das Seidenraupenzimmer,Sayaka Murata,Ursula Gräfe (Translator),Aufbau Verlag,9783351037932,48987363,hardcover,read,2024/04/20,4.0,,No,256,2020,2018,3.60,Japan,female,German,Fiction
The Opposite of Falling Apart,Micah Good,,Wattpad Books,9781989365069,45734867,hardcover,read,2023/01/09,,,Yes,432,2020,2020,3.93,,,English,Romance
Ellen Olestjerne,Franziska Gräfin zu Reventlow,,CreateSpace Independent Publishing Platform,9781514133620,27706282,paperback,read,2022/02/04,4.0,,Yes,146,2015,1903,3.00,Germany,female,English,deutsch
Von der Schönheit,Zadie Smith,Marcus Ingendaay (Translator),KiWi-Taschenbuch,9783462050370,52070200,paperback,read,2022/02/18,2.0,,No,544,2017,2005,3.77,United Kingdom,female,German,Fiction
Not Your Type,Alicia Zett,,Knaur,9783426526774,53917196,paperback,read,2022/09/29,,,No,352,2021,2021,3.64,Germany,female,German,Queer
Aufregende Zeiten,Naoise Dolan,Anne-Kristin Mittag (Translator),Rowohlt,9783498002176,55987998,hardcover,read,2022/08/14,,,No,320,2021,2020,3.23,Republic of Ireland,female,German,Fiction
Das Mädchen auf der Himmelsbrücke,Eeva-Liisa Manner,,Guggolz Verlag,9783945370360,62401631,hardcover,read,2023/12/29,,,Yes,154,2022,1951,4.02,Finland,female,German,Finnish Literature
In Memoriam,Alice Winn,,Alfred A. Knopf,9780593534571,59948521,digital,to-read,,,,No,400,2023,2023,4.54,"United States of America, France",female,English,Historical Fiction
Leichte Sprache,Cristina Morales,,Matthes & Seitz Berlin Verlag,9783751800679,66087419,hardcover,read,2023/03/31,4.5,,No,492,2022,2018,4.06,Spain,female,German,Fiction
