Title,Authors,Contributors,Publisher,ISBN,Goodreads Id,Format,Read Status,Date Read,Star Rating,Review,Owned,Number of Pages,Year Published,Original Publication Year,Average Rating,Country,Gender,Language,Genre
Dandelion Wine,Ray Bradbury,,Earthlight (UK) ,9780671037703,50033,paperback,to-read,,,,No,239,2000,1957,4.09,United States of America,male,English,Classics
"The Wicked + The Divine, Vol. 2: Fandemonium",Kieron Gillen,"Clayton Cowles (Illustrator), Jamie McKelvie (Illustrator), Matthew Wilson (Illustrator)",Image Comics,9781632153272,24666002,paperback,to-read,,,,Yes,200,2015,2015,4.11,United Kingdom,male,English,Graphic Novels
Queen In Cornwall,Rupert White,,lulu.com,9781447776475,13351864,,to-read,,,,No,290,2011,2011,4.19,,,English,N/A
Der Liebe und dem Leid: Das Institut für Sexualwissenschaft 1919-1933,Rainer Herrn,,Suhrkamp,9783518430545,60039780,hardcover,to-read,,,,No,681,2022,,4.33,,male,German,N/A
"Das geheime Leben der Bäume: Was sie fühlen, wie sie kommunizieren - die Entdeckung einer verborgenen Welt",Peter Wohlleben,,Ludwig Buchverlag,9783453280670,25830150,hardcover,to-read,,,,Yes,224,2015,2015,4.07,Germany,male,German,Nonfiction
Histories of the Transgender Child,Jules Gill-Peterson,,University of Minnesota Press,9781517904678,39732783,paperback,to-read,,,,No,288,2018,2018,4.40,Canada,trans woman,English,History
Carpathia: Food from the heart of Romania,Irina Georgescu,,White Lion Publishing,9780711241824,51198973,hardcover,to-read,,,,No,224,2020,,4.28,,female,English,Cookbooks
Portrait of the Artist as a Young Dog: Stories,Dylan Thomas,,New Directions Publishing Corporation (NYC),9780811202077,763031,paperback,to-read,,,,No,120,1968,1940,3.93,New Zealand,male,English,Fiction
The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making,Catherynne M. Valente,Ana Juan (Illustrator),Feiwel & Friends,9780312649616,9591398,hardcover,to-read,,,,No,247,2011,2011,3.95,United States of America,female,English,Fantasy
The Monsters Know What They're Doing: Combat Tactics for Dungeon Masters,Keith Ammann,,Gallery Books,9781982122669,43822502,hardcover,to-read,,,,No,543,2019,2019,4.42,,,English,Fantasy
Season of Secrets,Sally Nicholls,,Marion Lloyd Books,9781407105130,6135854,paperback,to-read,,,,No,272,2009,2009,3.70,United Kingdom,female,English,Fantasy
Enchantment: Reawakening Wonder in an Exhausted Age,Katherine May,,Faber & Faber,9780571378333,61748366,hardcover,to-read,,,,No,227,2023,2023,3.62,,female,English,Nonfiction
Wonders of the Invisible World,Christopher Barzak,,Knopf Books for Young Readers,9780385392792,19370974,hardcover,to-read,,,,No,352,2015,2015,3.79,United States of America,male,English,LGBT
Was denkt die Maus am Donnerstag?: 121 Gedichte für Kinder,Josef Guggenmos,,,9783407797885,3127572,hardcover,read,2022/03/08,,,No,118,3.72,1967,,Germany,male,German,Poetry
Big Magic,Elizabeth Gilbert,,Riverhead Books,9781594634710,24453082,hardcover,to-read,,,,No,276,2015,2015,3.96,Kingdom of England,female,English,Nonfiction
Wildthorn,Jane Eagland,,,9780330504836,8494170,digital,to-read,,,,No,,,,,,,English,Historical Fiction
No Ivy League,Hazel Newlevant,,Oni Press,9781549303050,39974869,paperback,to-read,,,,No,216,2019,2019,3.11,United States of America,non-binary,English,Graphic Novels
The Whispers,Greg Howard,,G.P. Putnam's Sons Books for Young Readers,9780525517498,40000227,,to-read,,,,No,229,2019,2019,3.94,,male,English,Middle Grade
Breaking Mad: The Insider's Guide to Conquering Anxiety,Anna Williamson,"Beth Evans, Reetta Newell",Green Tree,9781472937681,31451062,paperback,to-read,,,,No,193,2017,2017,3.54,,female,English,Nonfiction
Wie man unsterblich wird,"Sally Nicholls",Birgitt Kollmann (Translator),Dtv,9783423624558,7890971,paperback,read,2023/06/05,4.0,,Yes,208,2010,2008,4.19,United Kingdom,female,German,Young Adult
Wide Sargasso Sea,Jean Rhys,,Penguin Books Ltd,9780140183481,147811,paperback,to-read,,,,Yes,156,1990,1966,3.59,Dominica,female,English,Classics
Critical Role Vox Machina: Origins Volume 1,"Matthew Colville, Critical Role, Matthew Mercer",,Dark Horse Books,9781506714813,44494865,paperback,to-read,,,,Yes,168,2019,2019,4.31,United States of America,male,English,Fantasy
The Silmarillion,J.R.R. Tolkien,,Perfection Learning,9780812423020,18974,paperback,to-read,,,,Yes,442,1985,1977,4.01,,,English,Fantasy
"Saga, Vol. 1",Brian K. Vaughan,Fiona Staples (Illustrator),Image Comics,9781607066019,15704307,paperback,to-read,,,,No,160,2012,2012,4.17,United States of America,male,English,Graphic Novels
Hotel World,Ali Smith,,Anchor,9780385722100,567770,paperback,to-read,,,,Yes,238,2002,2001,3.59,United States of America,female,English,Fiction
Fun Home: A Family Tragicomic,Alison Bechdel,,Mariner Books,9780618871711,26135825,paperback,to-read,,,,No,232,2007,2006,4.08,United States of America,female,English,Graphic Novels
Girl on the Line,Faith Gardner,,HarperCollins B and Blackstone Publishing,9781799947530,72577845,audio,read,2022/01/03,4.0,,No,1,2021,2021,3.82,United States of America,female,English,Mental Health
Little Blue Encyclopedia (for Vivian),Hazel Jane Plante,,Metonymy Press,9780994047199,46161306,paperback,to-read,,,,No,200,2019,2019,4.31,,,English,Queer
Before the Coffee Gets Cold,Toshikazu Kawaguchi,Geoffrey Trousselot (Translator),Picador,9781529029581,44421460,paperback,to-read,,,,No,213,2019,2015,3.69,Japan,male,English,Fiction
Notes on a Nervous Planet,Matt Haig,,Canongate,9781786892676,37797266,hardcover,to-read,,,,Yes,310,2018,2018,3.96,United Kingdom,male,English,Nonfiction
A Girl Called Jack: 100 Delicious Budget Recipes,Jack Monroe,,Michael Joseph,9780718178949,19652958,paperback,to-read,,,,No,224,2014,2014,4.17,United Kingdom,non-binary,English,Cookbooks
Steering the Craft: Exercises and Discussions on Story Writing for the Lone Navigator or the Mutinous Crew,Ursula K. Le Guin,,The Eighth Mountain Press,9780933377462,68024,paperback,to-read,,,,No,173,1998,1998,4.23,United States of America,female,English,Writing
English After Rp: Standard British Pronunciation Today,Geoff Lindsey,,Palgrave Macmillan,9783030043568,42357180,paperback,to-read,,,,No,169,2019,,4.44,United Kingdom,male,German,Linguistics
Rosencrantz and Guildenstern Are Dead,Tom Stoppard,,Grove Press,9780802132758,18545,paperback,to-read,,,,No,126,1994,1966,4.04,"United Kingdom, Czechoslovakia, Czech Republic",male,English,Plays
Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,,Pearson,9780132350884,3735293,paperback,to-read,,,,No,464,2008,2007,4.37,,male,English,Programming
A Short History of the World According to Sheep,Sally Coulthard,,,9781643136592,54861989,digital,to-read,,,,No,,,,,,female,English,Nonfiction
Soulless,Gail Carriger,,Orbit,9780316056632,6381205,paperback,to-read,,,,No,357,2009,2009,3.90,United States of America,female,English,Steampunk
A Darker Shade of Magic,V.E. Schwab,,Tor Books,9780765376466,25667118,paperback,to-read,,,,Yes,413,2016,2015,4.05,,,English,Fantasy
Red Shelley,Paul Foot,,Bookmarks,9780906224137,1062950,,to-read,,,,No,294,1995,1980,4.26,"United Kingdom, Israel",male,English,Poetry
Legends & Lattes,Travis Baldree,,Cryptid Press,9798985663211,60314494,paperback,to-read,,,,No,305,2022,2022,4.12,,male,English,Fantasy
The Bullet-Catcher's Daughter,Rod Duncan,,Angry Robot,9780857665300,20697500,,to-read,,,,No,375,2014,2014,3.74,"Wales, United Kingdom",male,English,Steampunk
Frankenstein,Mary Shelley,,Penguin,9780141439471,216149520,paperback,to-read,,,,No,352,2024,1818,3.88,,female,English,Horror
Ash,Malinda Lo,,"Little, Brown Books for Young Readers",9780316531313,41716963,paperback,to-read,,,,No,304,2019,2009,3.63,United States of America,female,English,Fantasy
Pyramids,Terry Pratchett,,Corgi,9780552166652,15796728,paperback,read,2023/01/03,3.0,,Yes,384,2012,1989,3.92,United Kingdom,male,English,Fantasy
The Apple II Age: How the Computer Became Personal,Laine Nooney,,University of Chicago Press,9780226816524,62707940,hardcover,to-read,,,,No,352,2023,,4.04,,,English,Nonfiction
Milkman,Anna Burns,,Graywolf Press,9781644450000,42121455,paperback,to-read,,,,Yes,352,2018,2018,3.53,,female,English,Fiction
Secret Heart,David Almond,,Hodder Childrens Book,9780340743690,1309611,paperback,to-read,,,,No,202,2001,2001,3.54,"England, United Kingdom",male,English,Fantasy
The Girl of Ink and Stars,Kiran Millwood Hargrave,,Chicken House,9781910002742,27973757,paperback,to-read,,,,No,228,2016,2016,3.67,United Kingdom,female,English,Fantasy
The Eye of the World,Robert Jordan,,Orbit,9781857230765,50036002,paperback,to-read,,,,Yes,832,1991,1990,4.19,United Kingdom,male,English,Fantasy
Jonathan Livingston Seagull,Richard Bach,Russell Munson,Thorsons Classics,9780006490340,386175,paperback,read,2023/02/06,2.0,,Yes,127,2015,1970,3.86,United States of America,male,English,Fiction
The Miseducation of Cameron Post,Emily M. Danforth,,Balzer + Bray,9780062020567,11595276,hardcover,to-read,,,,No,470,2012,2012,4.07,United States of America,female,English,Young Adult
Das kleine Buch der botanischen Wunder,"Sonia Schadwinkel, Ewald Weber",,Beck C. H.,9783406638312,68431107,hardcover,read,2023/03/22,5.0,<div>The author did a very good job at setting up new pieces of information by pointing out inconsistencies or asking questions that made me as eager to find out the answer as I would be eager to find out what happens next when reading a novel.</div>,No,0,,2012,4.00,Germany,female; male,German,Nonfiction
Bilgewater,Jane Gardam,,Abacus Books,9780349114026,1294372,paperback,to-read,,,,No,208,2001,1976,3.87,United Kingdom,female,English,Fiction
Cook Like Your Ancestors: An Illustrated Guide to Intuitive Cooking With Recipes From Around the World,Mariah-Rose Marie,,,9798886200300,,paperback,to-read,,,,No,,,,,,,English,N/A
Bird Life,Anna Smaill,,Scribe Publications,9781761380112,179844467,paperback,to-read,,,,Yes,304,2024,,3.52,New Zealand,female,English,Fiction
Station Eleven,Emily St. John Mandel,,Knopf,9780385353304,20170404,hardcover,to-read,,,,No,333,2014,2014,4.07,"Canada, United States of America",female,English,Fiction
A Wizard of Earthsea,Ursula K. Le Guin,,,9780553383041,213673013,paperback,to-read,,,,No,,2024,1968,4.01,United States of America,female,English,Fantasy
Transgender Warriors: Making History from Joan of Arc to Dennis Rodman,Leslie Feinberg,,Beacon Press,9780807079416,217306,paperback,to-read,,,,No,240,1997,1996,4.14,United States of America,transgender,English,Queer
Life in Code: A Personal History of Technology,Ellen Ullman,,Picador,9781250181695,36031247,paperback,to-read,,,,No,320,2018,2017,3.95,United States of America,female,English,Nonfiction
Wintering: The Power of Rest and Retreat in Difficult Times,Katherine May,,Riverhead Books,9780593189481,218716723,hardcover,to-read,,,,No,256,2020,2020,3.86,,female,English,Nonfiction
"Home Cookery Year: Four Seasons, Over 200 Recipes for All Possible Occasions",Claire Thomson,,Quadrille,9781787134874,51182095,hardcover,to-read,,,,No,384,2020,,4.36,,female,English,Cookbooks
Caledonia,Amy Hoff,,Erebus Society,9780993328435,35192317,,to-read,,,,No,202,2017,2015,3.95,United States of America,female,English,Fantasy
Little Women,Louisa May Alcott,Susan Straight (Contributor),Signet Classics,9780451529305,60869467,paperback,to-read,,,,No,456,,1868,4.16,United States of America,female,English,Fiction
Something Wicked This Way Comes,Ray Bradbury,,Harper Voyager,9780380729401,248596,paperback,to-read,,,,No,293,1998,1962,3.91,United States of America,male,English,Horror
Her Royal Highness,Rachel Hawkins,,G.P. Putnam's Sons Books for Young Readers,9781524738266,41734205,hardcover,to-read,,,,No,274,2019,2019,3.74,United States of America,female,English,Romance
Such a Fun Age,Kiley Reid,,G.P. Putnam’s Sons,9780525541929,50371065,digital,to-read,,,,No,320,2019,2019,3.79,United States of America,female,English,Fiction
The Fire-Eaters,David Almond,,Hodder Children's Books,9780340944998,18520969,paperback,read,2023/07/20,5.0,,Yes,249,2009,2003,3.60,"England, United Kingdom",male,English,Young Adult
The House that Groaned,Karrie Fransman,,Square Peg,9780224086813,13153331,paperback,to-read,,,,No,208,2014,2012,3.25,,,English,Graphic Novels
I Put a Spell on You,John Burnside,,Jonathan Cape,9780224093873,18300190,,to-read,,,,No,288,2014,2014,3.76,,male,English,Nonfiction
Sauhund,Lion Christ,,,9783446277472,141317040,hardcover,to-read,,,,No,,,,,,,German,Queer
At Home: An Anthropology Of Domestic Space,Irene Cieraad,,Syracuse Univ Pr,9780815605621,3916644,hardcover,to-read,,,,No,184,1999,1999,3.72,,,English,Nonfiction
The Secret Garden,Frances Hodgson Burnett,,Children's Classics,9780517189603,2998,hardcover,to-read,,,,No,331,1998,1911,4.16,"United States of America, United Kingdom, United Kingdom of Great Britain and Ireland",female,English,Fiction
In a Time of Violence: Poems,Eavan Boland,,W. W. Norton & Company,9780393312980,256033,paperback,to-read,,,,No,80,1995,1994,4.19,Ireland,female,English,Poetry
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,Wendy MacNaughton (Illustrator),Simon and Schuster,9781476753836,30753841,hardcover,to-read,,,,No,480,2017,2017,4.39,,female,English,Cookbooks
Alice's Adventures in Wonderland,Lewis Carroll,John Tenniel (Illustrator),Penguin Books,9780141199689,15844279,paperback,to-read,,,,Yes,247,2012,1871,4.06,United States of America,male,English,Fantasy
"The Galaxy, and the Ground Within",Becky Chambers,,Hodder & Stoughton,9781473647664,54727327,hardcover,to-read,,,,No,325,2021,2021,4.41,,,English,Science Fiction
Adaptation,Malinda Lo,,"Little, Brown",9780316197984,17333258,paperback,to-read,,,,No,418,2013,2012,3.63,United States of America,female,English,Young Adult
All Systems Red,Martha Wells,,Tor.com,9780765397539,33387769,paperback,to-read,,,,No,160,2017,2017,4.14,United States of America,female,English,Science Fiction
Cold Comfort Farm,Stella Gibbons,Roz Chast (Illustrator),Penguin Classics,9780143039594,92780,paperback,to-read,,,,No,233,2006,1932,3.88,United Kingdom,female,English,Fiction
Botanical Folk Tales of Britain and Ireland,Lisa Schneidau,,,B07BX38YMN,39815874,digital,to-read,,,,No,,,,,,,English,Fantasy
Microadventures: Local Discoveries for Great Escapes,Alastair Humphreys,,William Collins,9780007548033,21046525,paperback,to-read,,,,No,256,2015,2014,3.86,United Kingdom,male,English,Travel
Kissing the Witch: Old Tales in New Skins,Emma Donoghue,,HarperTeen,9780064407724,44537,paperback,to-read,,,,No,228,1999,1997,3.88,,female,English,Short Stories
A Tree Grows in Brooklyn,Betty Smith,,HarperCollins Publishers,9780061120077,14891,paperback,to-read,,,,No,496,2006,1943,4.30,,female,English,Fiction
The Bell Jar,Sylvia Plath,,Faber and Faber,9780571268863,12478803,paperback,to-read,,,,Yes,234,2013,1963,4.06,United States of America,female,English,Fiction
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,,Signet Classic,9780451528957,51496,paperback,to-read,,,,No,139,2003,1886,3.83,"United Kingdom, United Kingdom of Great Britain and Ireland",male,English,Horror
American Gods,Neil Gaiman,,Headline Review,9780747263746,52427626,paperback,read,2022/10/26,,,Yes,672,2020,2001,4.11,United Kingdom,male,English,Fantasy
Queen: As It Began,"Jacky Gunn, Jim Jenkins",,Hyperion,9780786880034,1028303,paperback,to-read,,,,No,292,1994,1992,4.11,,male,English,Music
"Plantation and Civility in the North Atlantic World: The Case of the Northern Hebrides, 1570-1639",Aonghas Maccoinnich,,Brill Academic Pub,9789004226289,26788442,hardcover,to-read,,,,No,578,2015,2015,5.00,,,English,N/A
The God of the Woods,Liz Moore,,Riverhead Books,9780593418918,199700434,hardcover,to-read,,,,No,478,2024,2024,4.26,,female,English,Mystery
Wilderness Tips,Margaret Atwood,,Anchor,9780385491112,103162,paperback,to-read,,,,No,228,1998,1991,3.82,,female,English,Short Stories
Who Is Vera Kelly?,Rosalie Knecht,,Tin House Books,9781947793019,36276437,paperback,to-read,,,,No,266,2018,2018,3.50,,,English,Fiction
Winter,Ali Smith,,PENGUIN,0241973333,38470103,paperback,read,2023/01/31,4.0,,Yes,325,2018,2017,3.81,United States of America,female,English,Fiction
Gaelic Scotland in the Colonial Imagination: Anglophone Writing from 1600 to 1900,Silke Stroh,,Northwestern University Press,9780810134034,29993376,hardcover,to-read,,,,No,344,2016,2016,3.60,,female,English,N/A
Mythos,Stephen Fry,,Penguin Books,9781405934138,38213085,paperback,to-read,,,,Yes,459,2018,2017,4.26,South Africa,male,English,Mythology
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,,Katherine Tegen Books,9780062382801,29283884,hardcover,to-read,,,,No,528,2017,2017,4.03,,female,English,Historical Fiction
No One Is Talking About This,Patricia Lockwood,,Riverhead Books,9780593189580,53733106,hardcover,to-read,,,,No,210,2021,2021,3.55,United States of America,female,English,Fiction
To Night Owl from Dogfish,"Holly Goldberg Sloan, Meg Wolitzer",,Dial Books,9780525553236,38609428,hardcover,to-read,,,,No,304,2019,2019,4.09,United States of America,female,English,Middle Grade
The Poetic Edda: Stories of the Norse Gods and Heroes,Unknown,Jackson Crawford (Translator),"Hackett Publishing Company, Inc.",9781624663567,23604226,paperback,to-read,,,,No,392,2015,1270,4.26,,female,English,Poetry
The Wit and Wisdom of Discworld,Terry Pratchett,Stephen Briggs,Harper,9780061370502,149864,hardcover,to-read,,,,No,360,2007,2007,4.02,United Kingdom,male,English,Fantasy
Sapiens,Yuval Noah Harari,,Harvill Secker,9781846558238,19186348,paperback,to-read,,,,No,456,2014,2011,4.36,Israel,male,English,Nonfiction
Persistence: All Ways Butch and Femme,"Ivan Coyote, Zena Sharman","Elaine Miller, Miriam Zoila Pérez, Victoria A. Brownworth, Nairne Holtz, Amy Fox, Laiwan, B. Cole, Amber Dawn, Kimberly Dark, Thea Hillman, Bevin Branlandingham, Michael V. Smith, Sinclair Sexsmith, Zoe Whittall, Karleen Pendleton Jiménez, Debra Anderson, Belinda Carroll, Brenda Barnes, Anne Fleming, Chandra Mayor, Jeanne Cordova, romham padraig gallacher, S. Bear Bergman, Joan Nestle, Ben McCoy, Anna Camilleri, Sasha T. Goldberg, Leah Lakshmi Piepzna-Samarasinha, Sailor Holladay, Melissa Sky, Jewelle L. Gómez, Rae Spoon, Donnelly Black, Elizabeth Marston",Arsenal Pulp Press,9781551523972,9475378,paperback,to-read,,,,No,312,2011,2011,4.06,Canada,non-binary; female,English,Queer
Swing Time,Zadie Smith,,Hamish Hamilton,9780241144152,28390369,hardcover,to-read,,,,Yes,453,2016,2016,3.56,United Kingdom,female,English,Fiction
On the Edge of Gone,Corinne Duyvis,,Amulet Books,9781419719035,22020598,hardcover,to-read,,,,No,456,2016,2016,3.91,Kingdom of the Netherlands,female,English,Young Adult
Improve Your Social Skills,Daniel Wendler,,,B00NJNQ3U6,23265315,digital,to-read,,,,No,,,,,,,English,Self Help
A Land So Wild,Elyssa Warkentin,,Carnation Books,9781948272124,42843461,digital,to-read,,,,No,327,2018,,4.08,,,English,Historical Fiction
The King in Yellow,Robert W. Chambers,,Createspace Independent Publishing Platform,9781539053446,32277642,paperback,to-read,,,,No,224,2016,1895,3.55,United States of America,male,English,Horror
The House Witch,Delemhach,,Podium Publishing,9781039410251,61826310,paperback,to-read,,,,No,461,2022,2022,4.18,,,English,Fantasy
84 Charing Cross Road,Helene Hanff,,Sphere,9780751503845,1074383,paperback,to-read,,,,Yes,230,2007,1970,4.16,United States of America,female,English,Nonfiction
Wyrd Sisters,Terry Pratchett,,Corgi,9780552166645,15796727,paperback,read,2022/03/26,4.0,,Yes,368,2012,1988,4.16,United Kingdom,male,English,Fantasy
Our Own Private Universe,Robin Talley,,Harlequin Teen,9780373211982,22082082,hardcover,to-read,,,,No,384,2017,2017,3.63,,female,English,LGBT
"Here, The World Entire",Anwen Kya Hayward,,Lulu,9781326892005,33553649,paperback,to-read,,,,No,83,2016,2016,4.37,,,English,Mythology
Is This the Real Life?: The Untold Story of Queen,Mark Blake,,Aurum Press,9781845135973,10443589,hardcover,to-read,,,,No,384,2011,2010,3.81,,male,English,Nonfiction
The Long Earth,"Terry Pratchett, Stephen Baxter",,HarperCollins Harper,9780062067753,13147230,hardcover,to-read,,,,No,336,2012,2012,3.78,United Kingdom,male,English,Science Fiction
Shade the Changing Girl Vol. 1: Earth Girl Made Easy,Cecil Castellucci,Marley Zarcone (Illustrator),DC Comics,9781401270995,33233008,paperback,to-read,,,,No,144,2017,2017,3.70,"Canada, United States of America",female,English,Comics
Wild Geese,Mary Oliver,,Bloodaxe Books Ltd,9781852246280,201222,paperback,to-read,,,,No,160,2004,2004,4.60,,female,English,Poetry
Because Internet: Understanding the New Rules of Language,Gretchen McCulloch,,Riverhead Books,9780593189566,50984814,paperback,to-read,,,,No,496,2020,2019,4.05,Canada,female,English,Nonfiction
The Once and Future King,T.H. White,,Ace,9780441627400,43545,paperback,to-read,,,,Yes,639,1987,1958,4.07,,,English,Fantasy
The Crying of Lot 49,Thomas Pynchon,,Harper Perennial Modern Classics,9780060913076,2794,paperback,to-read,,,,No,152,2006,1966,3.69,,male,English,Fiction
Camp Damascus,Chuck Tingle,,Tor Nightfire,9781250874627,61884782,hardcover,to-read,,,,No,246,2023,2023,3.93,United States of America,transgender,English,Horror
Young Queens: Three Renaissance Women and the Price of Power,Leah Redmond Chang,,,B0B4DP7TMZ,,digital,to-read,,,,No,,,,,,female,English,N/A
Bevor die Welt unterging,Kirstin Breitenfellner,,Picus Verlag,9783711720535,38192904,hardcover,to-read,,,,No,240,2017,,4.00,"Germany, Austria",female,German,N/A
Changing Places,David Lodge,,Fisicalbook,9780099554172,13245698,paperback,to-read,,,,Yes,240,1905,1975,3.82,,male,English,Fiction
You Know Me Well,"Nina LaCour, David Levithan",,St. Martin's Griffin,9781250098641,27158835,hardcover,to-read,,,,No,256,2016,2016,3.71,United States of America,female; male,English,Young Adult
The Remarkable Retirement of Edna Fisher,E.M. Anderson,,Hansen House ,9781956037180,62772421,digital,to-read,,,,No,,2023,2023,3.74,,,English,Fantasy
Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,,,9780593633151,59451275,audio,to-read,,,,No,,,,,,female,English,Fantasy
Uprooted,Naomi Novik,,Del Rey,9780804179034,22544764,hardcover,to-read,,,,No,438,2015,2015,4.03,United States of America,female,English,Fantasy
Mistborn,Brandon Sanderson,,Tor Fantasy,9780765350381,243272,paperback,to-read,,,,Yes,657,2007,2006,4.48,United States of America,male,English,Fantasy
How to Stop Time,Matt Haig,,Canongate,9781782118640,36218250,paperback,to-read,,,,Yes,325,2017,2017,3.83,United Kingdom,male,English,Fiction
What I Mean When I Say I'm Autistic: Unpuzzling a Life on the Autism Spectrum,Annie Kotowicz,,Neurobeautiful,9798986482712,63111662,paperback,to-read,,,,No,118,2022,,4.40,,female,English,Autistic Spectrum Disorder
Swordheart,T. Kingfisher,,Argyll Productions,9781614504634,42747739,hardcover,to-read,,,,No,426,2018,2018,4.15,,,English,Fantasy
Hibiscus,Lopè Ariyo,,HARPER COLLINS,9780008225384,33544662,hardcover,to-read,,,,No,192,2017,,4.00,,,English,Cookbooks
Small Things Like These,Claire Keegan,,Faber & Faber,9780571368686,56943582,hardcover,to-read,,,,No,116,2022,2021,4.18,Ireland,female,English,Fiction
The Hobbit,J.R.R. Tolkien,,HarperCollins Publishers,9780261103344,56085874,paperback,to-read,,,,Yes,314,2011,1937,4.29,,,English,Fantasy
The Wizard of Oz,L. Frank Baum,,Puffin Books,9780593091296,197716331,paperback,to-read,,,,No,189,2013,1900,4.00,United States of America,male,English,Classics
The Alloy of Law,Brandon Sanderson,,Gollancz,9780575105829,10803710,paperback,to-read,,,,Yes,325,2011,2011,4.20,United States of America,male,English,Fantasy
In Our Own Image: Savior or Destroyer? The History and Future of Artificial Intelligence,George Zarkadakis,,Rider,9781846044366,23346872,paperback,to-read,,,,No,384,2015,2015,3.86,Greece,male,English,Nonfiction
Stealing from Wizards Volume 1: Pickpocketing,R.A. Consell,,,9780988007512,52167089,digital,to-read,,,,No,274,2019,,4.46,,,English,Fantasy
Song of Solomon,Toni Morrison,,Random House UK,9780099768418,820666,paperback,to-read,,,,Yes,337,2001,1977,4.14,United States of America,female,English,Fiction
Unmasking Autism: Discovering the New Faces of Neurodiversity,Devon Price,,Harmony,9780593235232,58537365,hardcover,to-read,,,,No,304,2022,2022,4.43,United States of America,non-binary,English,Nonfiction
The Third Policeman,Flann O'Brien,,Dalkey Archive Press,9781564782144,27208,paperback,to-read,,,,No,200,2002,1967,3.97,,,English,Fiction
